from,to,w
4,2,1.1698553795022877
4,3,2.016646561571462
4,5,1.7034235230458363
4,6,1.4121456004172521
4,7,2.020915119950756
4,8,1.1323920426027234
4,71,1.5566583328718617
4,98,1.423610219228487
4,184,1
4,227,1
4,268,1
4,361,1
4,411,1.2274281683763126
4,421,1
4,449,1
4,562,1
4,565,1
4,630,1.1332788872260007
4,902,1
4,1154,1
4,1190,1
4,2561,1
4,2677,1
4,3653,1
4,3957,1
4,4179,1
4,4964,1
4,5298,1
4,6449,1
4,7985,1
4,7987,1
4,9029,1
4,10015,1
5,0,3.5791365579622534
5,1,1.4140439840976111
5,2,1
5,3,2.0375333337431107
5,4,3.800620178185718
5,6,1.4834206842796527
5,7,1.4653996838487837
5,8,1
5,90,3.7118580873940026
5,107,2.1772206311051323
5,161,1.5796940348316677
5,176,2.08514047533144
5,224,1
5,373,1.7280256067736106
5,382,1.5480943288494167
5,767,1
5,958,1
5,1331,1
5,1531,1
5,1660,1
5,2525,1
5,3241,1
5,3899,1
5,19533,1
6,0,2.522016107196937
6,1,1.6650090288970472
6,2,2.1195887211991873
6,3,1.8092753045788925
6,4,2.2689638240686403
6,5,1.3560439311332333
6,7,4.067013099018499
6,8,1.34550371558329
6,28,1.3042417725266664
6,32,1.4918473434293447
6,171,1
6,187,1
6,253,1.8222573420683719
6,291,1
6,327,1
6,617,1.4203127992418954
6,2023,1
6,2681,1
7,0,3.024393884375788
7,1,2.4113375991214623
7,2,2.6480975110563323
7,3,3.8444095371459106
7,4,5.090244282056555
7,5,1.4691857650821327
7,6,5.542691466065727
7,8,1.4431198892442365
7,32,2.6764238029951226
7,39,3.0353328650207616
7,61,2.1372317108485497
7,73,3.146449021733626
7,75,1
7,124,3.6131584914061445
7,151,1.5560776781374477
7,215,1.5864656491903988
7,228,1
7,364,1
7,383,1
7,401,1
7,427,1
7,447,1
7,538,1.589782611828467
7,668,1
7,847,1
7,865,1
7,899,1
7,1190,1
7,1270,1.4923554324935961
7,1303,1
7,1540,1.3756696560611392
7,1674,1.5876596627506965
7,1694,1
7,1880,1
7,2103,1
7,2219,1
7,2265,1
7,2373,1
7,2709,1.3300850160979762
7,2868,1
7,2924,1
7,3180,1
7,4263,1
7,4505,1
7,4844,1
7,5120,1
7,5558,1
7,5623,1
7,6276,1
7,6420,1
7,7832,1
7,8244,1
7,8827,1
7,8936,1
7,9553,1
7,9628,1
7,9657,1
7,10535,1
7,10610,1
7,10706,1.4431198892442365
7,10946,1
7,13771,1
7,14159,1
7,14310,1
7,14422,1
7,15437,1
7,15716,1
7,16522,1
7,16760,1
7,17383,1
7,17455,1
7,19209,1
8,0,1.044408715113822
8,1,1.029785785655673
8,2,1.0320766448587142
8,3,1.0351710007629729
8,4,1.042140507374324
8,5,1
8,6,1.038303598854437
8,7,1.033291305287965
8,21,1.0358043609925107
8,34,1.4513984255984802
8,55,1
8,97,1
8,111,1
8,182,1
8,232,1
8,367,1
8,444,1
8,578,1
8,637,1
8,1270,1
8,2128,1
8,17671,1
9,7,1.45819316013799
9,21,2.2465224597318234
9,28,2.035277945773835
9,46,7.604384135690948
9,90,4.09114132918631
9,366,1
9,485,1
9,737,1
9,786,1
9,821,1.364172208395054
9,1149,1
9,2004,1
9,3029,1
9,3304,1
9,7551,1
9,11656,1
9,19912,1
10,0,1
10,9,1
10,9945,1
11,0,1.8546580590089337
11,118,1.3843626484766163
11,2259,1.0763695272192204
11,7483,1
11,10442,1
11,12104,1
12,7,2.2621897110231113
12,10,1.2321221632803487
12,4,2.896805153708881
12,69,6.260942576403476
12,82,6.953358676074489
12,306,2.1458757992665403
12,337,2.666319838838545
12,365,1.229628509815235
12,931,1.0355339291555952
12,1188,1.3904637431240263
12,1693,1
12,2664,1
12,3408,1.0411522640613449
12,4342,1.023029978859119
12,4803,1
12,5331,1.0493827168736138
12,5356,1
12,5577,1.0438957483321012
