from,to,w
12,26,3.1064311198585344
12,35,2.542711137026204
12,117,1.0221006249946867
12,150,1.3404037041115595
12,182,1.1220815487899156
12,272,1.1127119751513095
12,343,1
12,361,1
12,399,1.0720641266418893
12,489,1.063733491198979
12,514,1.0209300870617815
12,620,1.1211256562665979
12,631,1
12,697,1.0259841423092517
12,976,1
12,1004,1.02958578377769
12,1010,1.034698834552729
12,1235,1
12,1243,1.0246813305178462
12,1339,1
12,1687,1
12,1906,1
12,2067,1
12,2345,1
12,2536,1
12,2624,1
12,2797,1
12,3184,1
12,3226,1.1168159517110474
12,3242,1
12,3798,1
12,4131,1
12,4191,1.0256086430977085
12,4353,1
12,4533,1.0335726914954402
12,4978,1
12,5229,1
12,5479,1
12,5560,1.0328250747702081
12,5662,1
12,5744,1
12,6182,1
12,6659,1
12,6862,1
12,6908,1
12,7097,1
12,7319,1
12,7722,1
12,9222,1.027073393002595
12,9939,1
12,10129,1
12,10944,1
12,11644,1
12,12523,1
12,12671,1
12,12847,1
12,12848,1
12,13780,1
12,13873,1
12,14260,1
12,14438,1
12,14924,1
12,14955,1
12,14975,1
12,15050,1
12,15350,1
12,15694,1
12,15748,1.0204484387649397
12,16134,1
12,16317,1
12,16553,1
12,17792,1
12,17909,1
13,6,1.9711312208373042
13,4,3.2929096520690697
13,1,1.9119022814182105
13,2,4.105931677899677
13,9,1.4401695406255555
13,14,1.2089576523409962
13,17,117.59023295062607
13,21,14.031084936569435
13,58,44.332218441804855
13,62,34.17925672897942
13,72,2.658941865915169
13,83,2.73269405620569
13,84,1.3572615269793433
13,91,2.221680142898014
13,93,1.164142215899155
13,112,1.1768452616062433
13,119,2.6073925486561196
13,122,6.809544679937371
13,128,4.719170558027554
13,135,1.2206647807616129
13,145,1.5415566355490997
13,149,2.25934649718072
13,177,1.7663771686732972
13,179,2.195632715534304
13,213,4.094256088066317
13,230,10.814297964930445
13,260,1.2777633683843248
13,276,2.0947108532386447
13,284,1.2570479882907426
13,310,1.3295306899612973
13,314,1.2454870727496814
13,331,1.6155174161128247
13,335,1.012881242422553
13,384,1.0161844796381947
13,398,1.6345318106687778
13,419,1.3902130189160309
13,448,1.9411095873921962
13,453,1.1822758940838933
13,480,1.2983712396426734
13,490,1.2956524844366906
13,493,3.0674349187295165
13,531,1.442297269967548
13,558,1.0669336330885173
13,563,1.166987111121069
13,591,1.731897965308184
13,634,1.1350898257127033
13,638,1.0687607971891921
13,653,1.0694294675548544
13,684,2.6924989169262443
13,695,1.1449730976730867
13,707,1.0205634121330365
13,717,1.103893727038531
13,777,1.0818259328105826
13,787,1.2540800980039928
13,804,1.657601417995398
13,808,1.0853138528022654
13,809,1.2324542581530813
13,810,1.0184965481579367
13,814,1.0432618462790328
13,856,1.1305076334055426
13,872,1.078406709475221
13,881,1.1126828036246148
13,924,1.3403068536223777
13,931,1.1943659631404089
13,986,1.1665524300494265
13,1045,1.0646818730032976
13,1056,1.2462416312150424
13,1144,1.3647175436814807
13,1152,1
13,1162,1.3552114144614245
13,1179,1.0554044260402835
