from,to,w
19,66,1.1287054847806373
19,78,1.193145386390844
19,85,1
19,128,1
19,130,1
19,142,1
19,149,1
19,199,1
19,211,1
19,251,1
19,306,1.1362540221703024
19,321,1
19,405,1
19,463,1
19,513,1
19,541,1
19,571,1
19,611,1
19,687,1
19,833,1
19,871,1
19,959,1.0312431960808244
19,1037,1
19,1215,1
19,1240,1
19,1303,1
19,1442,1
19,1498,1
19,1779,1
19,1915,1
19,2397,1.0361672594925988
19,2535,1
19,2664,1
19,3080,1
19,3096,1
19,3216,1
19,3238,1
19,3396,1
19,4065,1
19,4323,1
19,4517,1
19,4861,1
19,5622,1
19,5731,1
19,6007,1
19,6146,1
19,6159,1
19,6207,1
19,6428,1
19,6692,1
19,7413,1
19,7523,1
19,8849,1
19,9488,1
19,9675,1
19,9923,1
19,10473,1
19,10905,1
19,11304,1
19,11745,1
19,11906,1
19,11951,1
19,12276,1
19,15075,1
19,15472,1
19,17140,1
19,17524,1
19,17956,1
19,19130,1
19,19766,1
20,0,1
21,4,1
22,4,3.41998297649237
22,12,35.06247098461691
22,5,2.059120531543964
22,6,1.4311047498249385
22,1,1.9610838639498291
22,35,2.8114291629833206
22,38,21.20873598171143
22,39,4.544206710414356
22,44,1.9274892460201432
22,51,1.1340445083971624
22,55,16.10444473885586
22,85,6.921749963360002
22,109,1.8637246166160961
22,111,1.0437330898261146
22,124,123.72579534565665
22,131,1.1635428308002653
22,141,3.7936182856398237
22,160,2.5237986793993046
22,210,27.660697028385
22,237,1.6990970853169192
22,262,13.445840779061735
22,278,1.1013322912168455
22,281,1.7212106197766608
22,305,2.4093085440679762
22,307,1.0504514324355867
22,338,2.4236133770852435
22,356,2.25334662624193
22,360,1.7958000430585814
22,391,1.0492738228028813
22,404,1
22,405,1.1887342544438848
22,411,1.6551571509693752
22,416,1.7315921167468944
22,428,4.605276239703955
22,469,1.463391722682401
22,474,1.8156913649632158
22,484,1.4930491956481484
22,501,1.0825283241759134
22,503,1
22,533,1.2376124443605052
22,598,1.0803882241511413
22,610,1.2821976619800692
22,629,2.317003826565514
22,740,1
22,751,1.402088081159883
22,762,2.3201534754440654
22,781,4.019387141512234
22,785,1.0919254942157093
22,798,1.1180335042271263
22,819,1
22,825,1.5334579699616109
22,831,1.22148768599581
22,855,1.0475063595919307
22,867,1.1993315756084773
22,892,1.0331087525358538
22,932,1.0392400030054563
22,949,1.0974280836164834
22,954,3.248666781774817
22,975,1.0821223388302073
22,976,1.1205025013412226
22,979,1
22,1011,1
22,1020,1.5886960789163964
22,1032,1.1899969872909408
22,1073,1.1765642241353709
22,1107,3.1825489201494332
22,1133,1.0772195902616195
22,1174,1.020354594903392
22,1177,1.3746154627666525
22,1211,2.727809657297316
22,1238,1.0438706300747425
22,1302,1.2297517705074614
22,1325,1.0294300022540923
22,1342,1.0490500037568204
22,1353,1.051610570798262
22,1374,1.0135830779634272
22,1387,1.0330181510157763
22,1396,1.0353160027049106
22,1455,1.0809640664230846
22,1463,1
22,1491,1
22,1672,1.0501177871492087
22,1676,1
22,1719,1.3498159391743847
22,1735,1.3403569612854018
22,1748,1.1350735993908623
22,1760,1
22,1853,1.5803861632315048
22,1863,1
22,1864,1.1561334793032656
22,1867,1
22,1898,1.3221761444877917
22,1914,1
22,1936,1.7126258941849901
22,1938,1.7707145094250845
22,2006,1.1647535436504017
22,2026,1.1442473966913125
22,2068,1.2006007460480885
22,2079,1.0294300022540923
22,2087,1.0392400030054563
22,2099,1
22,2155,1.1028671152396048
22,2184,1
22,2193,1
22,2244,1
22,2256,1.052974004057366
22,2294,1
22,2296,1.2947376157354238
22,2297,1.1353681996870995
22,2323,1.1862806801312813
22,2341,1.0674535914106207
22,2379,1.2856971673120416
22,2394,1.055505355853751
22,2396,1.1912221591741858
22,2428,1.4168394014141605
22,2451,1.0353160027049106
22,2492,1.1019465054894682
22,2508,1.2131631023791662
22,2509,1.1168756649458884
22,2535,1
